time,product,price,card_type,first_name,last_name,address,state,country
2019-02-20 12:45:06,Chicken - Thigh Bone In,79.12,diners-club-carte-blanche,Blakeley,Waywell,55 Mifflin Lane,OK,United States
2020-01-13 06:04:45,Crackers - Water,31.35,jcb,Anderson,Abrehart,4499 Forest Place,FL,United States
2019-03-19 13:09:53,Island Oasis - Banana Daiquiri,96.26,jcb,Jeramey,Di Maria,3944 Glacier Hill Drive,CO,United States
2019-03-01 04:43:00,Bread - Multigrain,91.79,laser,Vonnie,Louche,1 Huxley Junction,FL,United States
2019-03-18 11:08:56,Wine - Gewurztraminer Pierre,99.94,switch,Cinderella,Danielian,1936 Green Road,FL,United States
2019-08-13 15:33:19,Oil - Shortening - All - Purpose,29.7,bankcard,Agna,Juggings,99632 Mallory Avenue,CO,United States
2019-10-19 22:30:11,Breakfast Quesadillas,39.41,maestro,Hayley,Bonhill,3 Magdeline Avenue,NY,United States
2019-04-09 08:20:23,Mushroom - Morels Dry,72.21,visa-electron,Dayna,Neve,23 Green Pass,TX,United States
2019-10-05 22:31:50,Cod - Fillets,52.88,china-unionpay,Lizzie,Shaul,304 David Crossing,DC,United States
2019-11-27 09:12:03,Loaf Pan - 2 Lb Foil,27.63,jcb,Tiebold,Aspden,391 Jenna Place,AL,United States
2019-03-05 13:12:54,Bread - Dark Rye,95.95,china-unionpay,Hedvige,Brockley,82 Utah Place,WA,United States
2019-03-29 09:12:14,Tea - Lemon Scented,74.26,laser,Marie-ann,Windsor,70409 Farwell Park,MN,United States
2019-12-17 01:07:30,Sauce Bbq Smokey,56.12,jcb,Lory,Peyro,861 Armistice Center,IL,United States
2019-10-03 14:03:37,Danishes - Mini Cheese,26.94,bankcard,Dael,Rustadge,2080 1st Avenue,WI,United States
2019-08-29 17:08:37,Carbonated Water - Lemon Lime,61.57,jcb,Cati,Moncaster,2 Nevada Trail,TX,United States
2019-06-14 18:25:04,Wine - Red Lurton Merlot De,96.33,jcb,Moselle,Antonov,64957 Dexter Drive,CT,United States
2019-04-22 14:12:08,Egg - Salad Premix,49.16,jcb,Flin,Nannoni,10 Boyd Lane,MN,United States
2019-06-06 17:11:59,Temperature Recording Station,38.21,mastercard,Munroe,Bussens,541 Mifflin Place,IL,United States
2019-11-19 19:49:32,Yukon Jack,36.78,diners-club-us-ca,Lenette,Cumo,16 Waxwing Street,CO,United States
2019-03-03 09:25:03,Beans - Kidney Canned,53.14,maestro,Kristoffer,Doers,636 Katie Alley,CA,United States
2019-09-25 07:41:52,Nut - Macadamia,97.8,jcb,Stanley,Budgey,6796 Dayton Crossing,MA,United States
2020-01-13 08:06:17,Cheese - Camembert,88.64,jcb,Constance,Tanman,53812 Knutson Court,WI,United States
2019-10-21 05:51:16,Melon - Watermelon Seedless,77.87,instapayment,Fawn,Stenyng,73 Melby Plaza,NH,United States
2019-10-14 01:43:00,Cheese - Mozzarella Buffalo,80.98,bankcard,Jamie,Dulwitch,1347 Scott Alley,OH,United States
2019-10-19 05:55:37,Flour - Masa De Harina Mexican,30.02,diners-club-us-ca,Noelani,Gauche,7036 Upham Center,GA,United States
2019-04-07 17:03:23,Broom - Angled,29.57,solo,Bianca,Toderbrugge,4888 Caliangt Point,AZ,United States
2019-09-12 18:38:36,Sauce - Gravy Au Jus Mix,47.76,switch,Dore,Vasilmanov,8853 Fuller Hill,AL,United States
2019-03-31 00:46:48,Cheese - Provolone,82.31,diners-club-carte-blanche,Janeta,Willgoose,17232 Drewry Road,OR,United States
2019-02-08 07:13:33,Flour - Teff,27.86,laser,Fionnula,Hiley,160 Eagan Point,OH,United States
2020-01-26 11:46:26,Oil - Truffle White,56.68,maestro,Biddie,Miko,2 Bunting Circle,KY,United States
2019-05-11 05:47:35,Wine - Shiraz Wolf Blass Premium,51.78,visa-electron,Tamiko,Murrish,4712 Northfield Center,NY,United States
2019-02-13 16:19:05,Sardines,28.26,jcb,Henrietta,Rainsbury,6 Merrick Court,VA,United States
2020-01-21 14:23:39,Mushroom - Oyster Fresh,79.51,jcb,Dion,McDill,70442 Nevada Parkway,WI,United States
2020-01-07 13:15:42,Cake Circle Paprus,27.65,jcb,Kelley,Di Bartolommeo,93574 Memorial Parkway,TX,United States
2019-11-24 14:26:08,Latex Rubber Gloves Size 9,83.36,mastercard,Mellisa,Carnduff,29 Bonner Terrace,MS,United States
2019-11-08 04:20:02,Mayonnaise - Individual Pkg,20.03,jcb,Vikky,Lamkin,2333 Northwestern Hill,VA,United States
2019-11-11 22:48:54,Wine - Port Late Bottled Vintage,51.83,jcb,Crichton,Kepp,78136 Reinke Trail,DC,United States
2019-06-01 01:47:36,Tomatoes Tear Drop Yellow,41.07,jcb,Farica,Low,80257 Harper Pass,KS,United States
2019-02-11 19:22:24,Vermouth - White Cinzano,51.81,jcb,Almira,Fearnehough,99 Reindahl Avenue,FL,United States
2019-02-23 13:23:05,Longos - Lasagna Beef,91.09,diners-club-enroute,Winfield,Czaple,2157 Forest Dale Place,WV,United States
2019-09-09 02:52:35,Triple Sec - Mcguinness,62.08,jcb,Myrwyn,Dunklee,93970 Summit Alley,FL,United States
2019-06-24 22:53:15,Juice - Ocean Spray Cranberry,79.76,china-unionpay,Sashenka,Rockliffe,22 Katie Lane,OH,United States
2019-04-09 07:38:09,Juice - Orange Concentrate,28.38,jcb,Nappy,Penn,06485 Morningstar Center,NJ,United States
2019-12-11 07:04:04,Wine - Ice Wine,34.65,jcb,Damian,Vasler,8 Dwight Circle,PA,United States
2019-07-18 22:45:50,Pepper - Red Thai,90.84,china-unionpay,Clyde,Albutt,918 Jay Circle,MN,United States
2019-02-25 04:29:28,Coffee - Decafenated,62.78,jcb,Marquita,Sanz,4333 Commercial Lane,MS,United States
2019-04-15 07:40:09,Kiwi,61.82,visa-electron,Jase,Espinal,21 Valley Edge Avenue,FL,United States
2019-04-28 13:54:00,Coffee - Irish Cream,44.47,china-unionpay,Sawyer,Couch,2 Artisan Terrace,MD,United States
2019-07-13 04:07:45,Venison - Striploin,50.89,jcb,Simone,Tue,5048 Namekagon Lane,MD,United States
2019-07-04 04:05:54,Plaintain,37.02,diners-club-international,Reuben,Ivatt,9 Moose Plaza,WV,United States
2019-05-29 00:46:41,Beef - Inside Round,61.99,americanexpress,Tally,Niemiec,11 Bluestem Alley,TX,United States
2019-04-17 22:12:03,Almonds Ground Blanched,95.21,switch,Marji,Middas,78 Mockingbird Alley,FL,United States
